k = 1,k = 2,k = 3,k = 4,k = 5,k = 6,k = 7,k = 8,k = 9,k = 10,k = 11,k = 12,k = 13,k = 14,k = 15,k = 16,k = 17,k = 18,k = 19,k = 20,k = 21,k = 22,k = 23,k = 24,k = 25,k = 26,k = 27,k = 28,k = 29,k = 30,k = 31,k = 32,k = 33,k = 34,k = 35,k = 36,k = 37,k = 38,k = 39,k = 40
74494.0,66243.68359375,61004.8876953125,59125.5029296875,56139.05029296875,53690.4521484375,48788.171630859375,45495.58154296875,43878.053466796875,37432.284912109375,36123.80944824219,34890.75012207031,33864.009338378906,33146.979431152344,32512.787719726562,31958.56756591797,29506.838554382324,29059.17311859131,28439.67961883545,29563.00115966797,27919.425407409668,28704.294647216797,26215.568717956543,25983.7767868042,25146.76860809326,24899.68022918701,25663.297729492188,24066.892417907715,23948.56014251709,23657.831565856934,23364.402336120605,23258.203819274902,22928.52761077881,22821.407859802246,22290.09806060791,22241.613090515137,22226.844444274902,21829.002906799316,20645.844200134277,21716.646965026855
74494.0,66243.68359375,62224.009765625,55560.587890625,53644.2451171875,51395.533683776855,48655.560791015625,45773.708740234375,43879.12744140625,37432.56884765625,36139.211975097656,34891.35632324219,33848.445068359375,33153.2880859375,32076.63214111328,30200.5736618042,29511.396354675293,31001.681518554688,28610.110221862793,29523.84603881836,29055.261444091797,28085.582092285156,28341.91943359375,25552.814445495605,25148.78606414795,23216.50933074951,27020.366912841797,24272.143562316895,25050.450134277344,23694.6654586792,23314.636924743652,22775.61061859131,23326.886436462402,21144.158653259277,20748.706993103027,23357.752044677734,20507.89525604248,21777.001502990723,19935.601860046387,20399.5404586792
74494.0,66243.68359375,62223.666015625,59070.978515625,52411.99951171875,51964.7041015625,47227.879638671875,45719.657470703125,43877.676513671875,42453.00518798828,36074.01202392578,34876.044921875,32398.62425994873,33141.70593261719,30502.720512390137,31950.62664794922,30880.877319335938,30449.360229492188,29890.034759521484,29413.57876586914,27830.71019744873,27425.104789733887,26134.424980163574,27692.429779052734,27457.211822509766,23366.619590759277,22969.5765914917,24127.468894958496,24218.194145202637,23600.899559020996,23527.537925720215,25624.12660217285,21299.641807556152,22612.25173187256,22529.867149353027,23250.07681274414,20451.82363128662,20298.38256072998,21682.09088897705,22523.204650878906
74494.0,66243.68359375,61004.8876953125,59124.9921875,54273.5126953125,51557.60400390625,48654.244384765625,45782.023193359375,43814.96142578125,37454.070556640625,36074.274963378906,34831.95477294922,32397.573356628418,33146.06140136719,30442.148063659668,31453.499267578125,29588.991203308105,31029.41143798828,30014.27392578125,27335.693840026855,26920.323539733887,26476.41265106201,28093.548431396484,25560.884941101074,23819.76052093506,25838.542572021484,24447.72927093506,24721.25576019287,24111.75267791748,23532.352043151855,24489.41689300537,21887.23851776123,21236.946952819824,22782.196311950684,21039.650382995605,20606.004692077637,22250.411109924316,21941.760536193848,20235.573844909668,21718.03798675537
74494.0,66243.68359375,62224.009765625,59125.001953125,52461.7587890625,49976.806640625,47754.218017578125,45907.70520019531,43815.0830078125,37432.284912109375,41273.787109375,34831.37237548828,33841.66619873047,33161.61181640625,32543.76690673828,30077.50786590576,29671.31890106201,29047.131187438965,29858.638214111328,29492.144134521484,26858.881706237793,27215.44683074951,26100.74370574951,25591.757804870605,23553.85894012451,23253.281730651855,24777.152488708496,24453.48073577881,24126.933555603027,23584.220542907715,21581.9584274292,23238.095664978027,21738.442008972168,23340.14752960205,22430.08632659912,22197.88579559326,21986.339637756348,21823.27222442627,20196.932304382324,22371.35708618164
74494.0,66243.68359375,62224.05859375,59071.361328125,53576.80712890625,50735.370361328125,48495.7158203125,45234.80908203125,43930.175048828125,42533.835021972656,41301.457458496094,34831.755920410156,33843.198486328125,31923.364379882812,32486.675842285156,30091.386344909668,30903.655151367188,30457.529052734375,29875.978271484375,28366.891632080078,27668.89345550537,28732.990997314453,26150.211235046387,27972.40850830078,25202.986015319824,24959.74925994873,25272.051803588867,24442.07573699951,23869.933067321777,22476.299003601074,24168.773040771484,23422.853660583496,25385.252227783203,20934.86824798584,20797.36952972412,20673.10082244873,20495.627891540527,19981.111122131348,20207.873237609863,19975.32154083252
74494.0,66243.68359375,62224.12890625,59076.54895019531,52461.9423828125,49476.14111328125,47754.218017578125,45601.071533203125,43813.653564453125,38860.085998535156,36423.71898651123,34890.79797363281,32888.6630859375,33166.006103515625,32484.55126953125,31835.991943359375,31453.5107421875,28258.09316253662,29974.8779296875,27210.3295211792,29007.49383544922,27546.308708190918,26674.32275390625,25808.090324401855,23879.215141296387,25092.623069763184,24388.72402191162,26650.624725341797,22788.349327087402,26093.8427734375,23372.27565765381,23143.83034515381,23121.81137084961,22783.323448181152,22548.552574157715,22374.602195739746,20605.08876800537,22158.276161193848,21465.169288635254,21648.83925628662
74494.0,66243.68359375,60736.087890625,55560.587890625,52412.50146484375,52038.783203125,46883.10986328125,46052.76281738281,43877.894775390625,38922.302307128906,38681.76348114014,33579.54790496826,33841.76672363281,33131.87326049805,32540.721618652344,31952.980224609375,29266.710319519043,30438.89666748047,30003.591857910156,27451.83129119873,26949.174003601074,28774.444854736328,28218.26043701172,25575.4476852417,25220.465202331543,25324.384483337402,24843.69817352295,22482.412071228027,24637.553009033203,22081.31029510498,22154.490898132324,21450.100242614746,21458.419456481934,22610.29076385498,20844.134391784668,21990.959327697754,22130.44231414795,20265.36615753174,21860.58632659912,20080.707145690918
74494.0,66243.71484375,61004.8955078125,56992.5791015625,52962.091796875,50735.306884765625,47953.865966796875,45234.80908203125,40588.15283203125,40947.42364501953,36074.04522705078,34831.38751220703,33863.953186035156,31160.296195983887,32582.524536132812,31474.09521484375,30946.367736816406,29042.8441696167,29118.89813232422,27375.84691619873,29073.92025756836,26571.522087097168,25974.72417449951,25813.608695983887,25537.41802215576,24655.47176361084,24494.116416931152,24821.961395263672,22742.98119354248,22067.89543914795,22172.98220062256,23452.381309509277,21199.340171813965,22763.28520965576,22493.13939666748,20674.858238220215,22200.444953918457,21918.376976013184,20638.105491638184,21545.604026794434
74494.0,66243.68359375,62224.009765625,56726.302734375,55957.8505859375,50735.725830078125,48744.87109375,45961.964599609375,43879.630615234375,37432.8564453125,36123.69934082031,34831.05145263672,33843.20104980469,33195.268798828125,32535.964782714844,31342.66339111328,31408.455352783203,29309.16674041748,29944.844665527344,29507.251495361328,26745.99648284912,27706.620178222656,26183.245109558105,26649.962425231934,26857.687469482422,24642.516075134277,24718.988426208496,22888.445793151855,23916.293815612793,24125.121726989746,23378.752281188965,21510.900077819824,22981.65224456787,22727.103172302246,22487.78539276123,22159.340965270996,20877.41674041748,21885.731590270996,21584.05362701416,19925.789237976074
