Label,证券代码,营业总收入,现金资产比率,应收类资产比率,固定资产比率,无形资产比率,金融负债比率,少数股东权益占比,市盈率（PE）1,资产负债率,市值A,托宾Q值A,账面市值比A,资产报酬率A,净资产收益率（ROE）A
7,002601,0.1772494,-0.89788663,-0.7408941,1.231026,0.8888092,0.8705152,0.19008993,-0.2623901,0.88856226,0.0021333578,-0.3985632,0.2472545,0.5541303,0.16140689
2,002602,0.092539154,-0.1690015,-0.5069907,-1.0375881,0.19995217,0.33811694,-0.05249285,-0.011463485,-0.44286442,-0.035618998,-0.61091787,0.8972179,0.78764254,0.1125618
2,002603,-0.05238938,-0.74946326,0.16410856,1.1028116,0.002978671,-0.22244863,-0.19110096,-0.21475956,-0.46603477,-0.04464153,0.107172996,-0.6352751,0.35056934,0.069783814
2,002605,-0.10894296,0.060059812,-0.24420117,-0.7294139,-0.43687353,0.600424,-0.15191422,-0.2464725,-0.48799923,-0.061956026,0.31156456,-0.85685647,1.8630658,0.22499609
0,002606,-0.13663578,-0.3089633,0.95649326,0.1497783,-0.30715644,0.4274175,-0.17874303,0.20235501,-0.013383954,-0.066150844,0.086763196,-0.610135,0.7958953,0.15350907
8,002607,-0.11984493,-0.9381972,-1.2282329,0.37144968,1.8689138,-0.20321381,-0.18520844,-0.37084353,2.197509,-0.05452271,1.065597,-1.3762877,0.61099464,0.41190368
7,002608,0.28952402,-0.27043948,-0.97588736,0.9449543,-0.37702432,1.6147064,0.83712864,-0.29417267,0.4847009,-0.007865308,-0.8252147,1.9322494,0.66984135,0.14561503
2,002609,-0.13750999,0.17001835,-0.11217997,-0.9958495,0.47438145,-0.29289052,-0.0070750755,-0.07351445,-0.4546475,-0.06589354,-0.19683035,-0.18309386,-0.27474445,0.012301426
2,002611,-0.10077983,0.49664924,-0.25020838,-0.7512873,0.068756945,-0.44887945,-0.003589413,-0.25471526,-0.46345264,-0.06282602,-0.44103572,0.35757217,0.8280229,0.11214573
4,002612,-0.08698791,-0.60243046,-1.0611897,-0.7454315,0.046157468,0.63409877,0.47640532,-0.1679623,0.60640746,-0.062145974,-0.47661692,0.45663136,0.42654645,0.09525316
2,002613,-0.13367891,0.4717954,0.13844062,-0.15220313,0.49509215,-1.3113897,-0.11346777,-0.08567175,-0.386798,-0.06740094,-0.29026568,-0.0007295991,0.32975426,0.078426786
4,002614,-0.098744825,-0.2542495,-0.39553985,0.118369915,0.3152489,0.052386,-0.16581595,-0.12599462,-0.11104566,-0.06485889,-0.7269101,1.3916068,-0.31146172,0.00096910883
2,002615,-0.11562231,0.9857275,-0.25516003,0.19882147,0.4146472,-0.06408801,-0.19892417,-0.264667,0.36341313,-0.06682693,-0.34103656,0.110057175,0.9591621,0.23631139
7,002616,-0.10894735,-0.6858496,1.3949677,2.072051,0.5095289,1.6960288,-0.17475888,-0.22586407,1.5205649,-0.06172296,-0.661357,1.0965755,0.2923475,0.0664174
7,002617,-0.10903645,-0.85738224,0.47177187,1.2273198,-0.4220262,1.1256716,-0.114699095,0.75120467,0.04583997,-0.056932844,-0.19738449,-0.18208528,0.15993696,0.043257263
4,002620,-0.14376155,-1.1232903,0.8802275,-0.50139487,-0.6729362,-0.544717,2.1313548,-0.37084353,2.3103645,-0.066937275,-0.5227487,0.5951461,-0.69389004,-0.5428914
4,002622,-0.14302118,-0.3661296,-1.0575339,-0.60429925,-0.20373428,0.29214025,0.15175135,-0.37084353,1.2683926,-0.06831244,-0.045309,-0.43110925,0.35147431,0.089528374
7,002623,-0.114361,0.2051036,0.42966995,0.14230525,-0.3058754,0.8421619,-0.13958606,-0.09363538,0.12340135,-0.065703616,-0.6394958,1.0074965,-0.57358927,-0.033710584
5,002624,-0.08865009,0.64851964,-0.8054801,-1.1477971,-0.29485485,-0.5469026,-0.074667916,-0.14302142,-0.2722901,-0.052503113,0.03148441,-0.5388116,-0.8099458,-0.11677957
6,002625,-0.13299091,2.9596884,0.53808284,-0.7686323,-0.22081529,-1.0627269,-0.18520844,0.25159127,-1.2573211,-0.03218594,2.4734302,-1.8267255,0.4835401,0.0948995
8,002626,-0.116011925,0.048117507,-0.6641134,0.030236406,0.25774837,1.3514768,-0.17243387,-0.13094647,-0.45393407,-0.061228193,0.13658819,-0.6704462,0.5292643,0.08400784
7,002627,-0.14426453,0.3638006,-1.2148454,0.38799283,0.84947366,0.9784448,0.078991406,-0.14255589,-0.90548027,-0.0665903,-0.5664798,0.7382893,0.13511403,0.04642131
4,002628,-0.14458168,-0.95807856,0.046564717,-1.2790574,-0.5862666,0.21827742,-0.08993489,2.0848258,0.7490061,-0.065625094,-0.8257211,1.9354119,-0.40543115,-0.03295976
0,002629,-0.15098214,-0.6279501,2.343471,-0.6737198,-0.45111316,-1.34335,0.8831007,-0.37084353,1.7859472,-0.0697388,2.3612876,-1.8026917,-1.5672607,-0.46760485
4,002630,-0.120620914,-1.1798077,-0.32267243,-0.7301013,-0.14022252,0.6988233,0.49876267,-0.37084353,2.3536122,-0.060644664,-0.47931993,0.46442237,0.094906054,0.13516591
4,002631,-0.13521096,-0.79212517,-0.81866163,-0.81376714,-0.25745732,0.46102104,-0.1833261,0.53300226,0.7009439,-0.066028014,-0.4102586,0.2768198,-0.33027285,-0.019123439
2,002632,-0.13680662,-0.14353245,-0.23612577,0.85413885,0.38432842,0.120151326,-0.18720981,-0.14487515,-0.8163153,-0.06602782,0.20367613,-0.7462808,0.86508495,0.109121636
8,002633,-0.14934821,-0.69372123,1.2857224,0.6733098,0.26394022,-0.10288232,-0.18520844,-0.37084353,-0.4100144,-0.069281094,0.60266,-1.1002433,-0.24724962,0.010998362
7,002634,-0.13793796,-0.7285537,-0.47732365,0.56644315,-0.63079214,0.7820422,0.6164047,-0.37084353,1.5563745,-0.066541374,-0.5854868,0.80449945,-1.9196731,-0.51035637
2,002635,-0.09623752,-0.5194327,0.057463504,0.7614231,-0.26795226,-0.08057895,-0.18014549,-0.120194964,-0.62781775,-0.061465207,-0.34678566,0.12318427,0.020394163,0.05069741
2,002636,-0.10643406,-0.4179695,-0.20598677,0.29094422,-0.11621058,-1.5137354,-0.052455653,-0.37084353,0.024473881,-0.06378724,-0.37746027,0.1953794,-0.3303806,0.032310758
7,002637,-0.033436384,-0.6009893,-0.59053373,1.0358506,0.29301077,0.94341594,-0.14426585,0.28756443,0.5669571,-0.0634623,-0.62674683,0.95746654,0.066161446,0.034633204
2,002638,-0.14847633,-0.6944376,-0.47595915,-1.0402701,0.907122,-0.73896176,-0.18486246,-0.37084353,-1.4123242,-0.06779875,-0.49073562,0.49775615,-0.9298156,-0.052832924
0,002639,-0.132301,-0.8168947,0.28964198,-0.15524222,-0.0385413,0.55863637,-0.14814211,-0.37084353,0.16349153,-0.06536414,-0.3303574,0.08599604,-0.18357621,0.0032329247
4,002640,-0.086658746,-0.4862943,-0.0343695,-1.267184,-0.6688302,-0.8499124,-0.20980524,-0.37084353,1.1250944,-0.065322034,-0.10571933,-0.33840644,0.12735687,-0.04753934
2,002641,-0.07765218,-0.56716824,-0.033365436,0.74821556,0.23312873,-1.1046253,-0.084187455,-0.264662,-0.31988284,-0.06365714,-0.69236684,1.2306025,-0.1870454,0.03084883
0,002642,-0.13134359,-0.0042617605,1.3886945,-0.80857843,-0.70752525,-0.52370834,-0.18530515,-0.37084353,0.5777644,-0.06571911,0.51819533,-1.0366329,-0.43954116,-0.0034128972
7,002643,-0.10937179,-0.040965173,-0.8237677,0.52376115,-0.01646739,1.0931133,0.1614011,-0.29118687,-0.6269248,-0.06039032,-0.54616815,0.67027706,0.32714698,0.07517007
2,002644,-0.1418587,0.012652993,-0.07666881,1.4780883,-0.19399482,0.10614293,-0.13394651,0.032420237,-0.6248996,-0.06669966,0.097894,-0.62392277,-0.19422077,0.02201295
4,002645,-0.08905674,-0.5018185,-0.24693017,-0.27938655,-0.18228449,0.31590465,-0.0447366,-0.37084353,-0.1223869,-0.06501225,-0.6114651,0.89926636,-0.32882914,-0.014164604
2,002646,-0.13745613,-0.13241608,-1.2097735,0.7651832,0.010583001,-0.45788315,-0.20989451,0.027888535,-1.2035744,-0.0657534,-0.01399336,-0.47631916,-0.0390128,0.018050801
4,002647,-0.13830064,-1.0952675,-1.1381334,-1.2041583,-0.7093155,-0.8657936,1.7088865,-0.37084353,2.6109443,-0.064005174,-0.120776094,-0.3140951,-0.62472194,-2.4334366
