Time,Opening,Highest,Lowest,Closing,Change,Pct_Change,Trading_Volume,Trading_Amount
1995-12-22,596.26,599.71,591.37,594.24,-3.19,-0.534,69686700.0,353630016.0
1995-12-25,590.76,590.76,579.26,580.03,-14.21,-2.3913,70979200.0,370452992.0
1995-12-26,578.79,580.38,571.43,572.22,-7.81,-1.3465,54895200.0,280809984.0
1995-12-27,571.68,573.87,562.33,570.4,-1.82,-0.3181,80912300.0,391947008.0
1995-12-28,568.77,569.19,555.66,556.82,-13.58,-2.3808,80937200.0,406660992.0
1995-12-29,555.74,561.61,552.84,555.29,-1.53,-0.2748,82233700.0,394447008.0
1996-01-02,550.26,550.26,537.38,537.87,-17.42,-3.1371,48247800.0,223116992.0
1996-01-03,535.23,542.74,530.79,542.42,4.55,0.8459,55619200.0,252574000.0
1996-01-04,541.94,558.78,539.86,558.75,16.33,3.0106,222068600.0,729297984.0
1996-01-05,559.03,561.36,536.12,536.37,-22.38,-4.0054,138637100.0,597185024.0
1996-01-08,533.33,540.04,527.91,539.17,2.8,0.522,69620700.0,287150016.0
1996-01-09,541.35,559.64,540.99,558.62,19.45,3.6074,189474200.0,803436992.0
1996-01-10,552.3,552.31,540.59,547.62,-11,-1.9691,153153500.0,652606016.0
1996-01-11,547.46,552.56,543.12,545.64,-1.98,-0.3616,115774400.0,496816000.0
1996-01-12,545.23,549.76,541.67,547.11,1.47,0.2694,96742900.0,421600000.0
1996-01-15,545.05,551.91,543.83,551.04,3.93,0.7183,91936100.0,423648992.0
1996-01-16,551.82,554.9,545.49,547.76,-3.28,-0.5952,85291100.0,362896000.0
1996-01-17,546.21,548.57,535.24,537.31,-10.45,-1.9078,98115300.0,409780992.0
1996-01-18,533.38,533.41,517.3,517.63,-19.68,-3.6627,126754900.0,559187968.0
1996-01-19,515.0,523.59,512.83,523.51,5.88,1.1359,86391200.0,382324000.0
1996-01-22,520.95,521.0,514.16,516.46,-7.05,-1.3467,68262400.0,309451008.0
1996-01-23,515.48,522.41,515.48,519.6,3.14,0.608,55634000.0,251084000.0
1996-01-24,519.94,524.33,519.94,522.63,3.03,0.5831,77997700.0,344156000.0
1996-01-25,523.75,538.96,520.74,521.37,-1.26,-0.2411,230732000.0,941891968.0
1996-01-26,516.44,527.07,515.37,525.57,4.2,0.8056,96733000.0,399411008.0
1996-01-29,526.2,530.17,525.49,529.14,3.57,0.6793,109830000.0,485379008.0
1996-01-30,531.3,532.65,525.6,532.57,3.43,0.6482,115375600.0,528944000.0
1996-01-31,531.46,538.11,530.12,537.35,4.78,0.8975,196473200.0,820316992.0
1996-02-01,536.24,537.17,532.61,536.68,-0.67,-0.1247,96221700.0,446983008.0
1996-02-02,535.12,536.04,528.57,536.04,-0.64,-0.1193,99307000.0,487401984.0
1996-02-05,537.23,537.27,522.48,522.85,-13.19,-2.4606,122087600.0,680049024.0
1996-02-06,520.08,522.67,518.18,520.69,-2.16,-0.4131,77620400.0,399123008.0
1996-02-07,520.37,524.72,519.65,524.3,3.61,0.6933,67355500.0,336764992.0
1996-02-08,523.74,524.65,521.13,521.86,-2.44,-0.4654,37869400.0,188936992.0
1996-02-09,522.0,525.43,521.11,525.41,3.55,0.6803,32965800.0,153374000.0
1996-02-12,523.57,524.06,523.57,523.85,-1.56,-0.2969,36464200.0,180683008.0
1996-02-13,525.14,530.75,524.96,529.58,5.73,1.0938,47176200.0,213136992.0
1996-02-14,530.09,534.18,528.71,529.25,-0.33,-0.0623,49788200.0,227458000.0
1996-02-15,529.32,538.35,528.5,536.98,7.73,1.4606,83097900.0,394264992.0
