ID,证券简称,Labels
002051,中工国际,0
002053,云南能投,4
002054,德美化工,4
002055,得润电子,7
002056,横店东磁,2
002057,中钢天源,7
002058,威尔泰,1
002059,云南旅游,2
002060,广东建工,0
002061,浙江交科,0
002062,宏润建设,0
002063,远光软件,7
002064,华峰化学,2
002065,东华软件,7
002066,瑞泰科技,7
002067,景兴纸业,4
002068,黑猫股份,4
002069,獐子岛,4
002072,凯瑞德,1
002073,软控股份,0
002074,国轩高科,0
002075,沙钢股份,4
002076,星光股份,1
002077,大港股份,2
002078,太阳纸业,4
002079,苏州固锝,7
002080,中材科技,4
002081,金螳螂,7
002082,万邦德,4
002083,孚日股份,4
002084,海鸥住工,0
002085,万丰奥威,7
002086,东方海洋,4
002088,鲁阳节能,7
002090,金智科技,7
002091,江苏国泰,0
002092,ST 中泰,4
002093,国脉科技,2
002094,青岛金王,0
002095,生意宝,3
002096,易普力,2
002097,山河智能,7
002098,浔兴股份,2
002099,海翔药业,4
002100,天康生物,4
002101,广东鸿图,7
002102,能特科技,0
002103,广博股份,7
002104,恒宝股份,3
002105,信隆健康,4
002106,莱宝高科,3
002107,沃华医药,3
002108,沧州明珠,4
002109,兴化股份,4
002110,三钢闽光,4
002111,威海广泰,7
002112,三变科技,7
002114,罗平锌电,6
002115,三维通信,7
002116,中国海诚,3
002117,东港股份,2
002119,康强电子,7
002120,韵达股份,4
002121,科陆电子,4
002122,汇洲智能,2
002123,梦网科技,7
002124,ST 天邦,4
002125,湘潭电化,4
002126,银轮股份,7
002127,南极电商,2
002128,电投能源,4
002129,TCL中环,4
002130,沃尔核材,2
002131,利欧股份,7
002132,恒星科技,4
002133,广宇集团,0
002134,天津普林,4
002135,东南网架,0
002136,安纳达,2
002137,实益达,2
002138,顺络电子,4
002139,拓邦股份,2
002140,东华科技,0
002141,*ST 贤丰,2
002142,宁波银行,0
002144,宏达高科,2
002145,中核钛白,3
002146,荣盛发展,0
002148,北纬科技,2
002149,西部材料,7
002150,通润装备,7
002151,北斗星通,2
002152,广电运通,2
002153,石基信息,2
002154,报喜鸟,2
002155,湖南黄金,2
002156,通富微电,4
002157,正邦科技,4
002158,汉钟精机,2
002159,三特索道,2
002160,常铝股份,4
002161,远望谷,6
002162,悦心健康,4
002163,海南发展,0
002164,宁波东力,2
002165,红宝丽,4
002166,莱茵生物,4
002167,东方锆业,4
002169,智光电气,4
002170,芭田股份,4
002171,楚江新材,4
002172,澳洋健康,4
002173,创新医疗,4
002174,游族网络,2
002175,东方智造,1
002176,江特电机,2
002177,御银股份,2
002178,延华智能,7
002179,中航光电,7
002180,纳思达,0
002181,粤传媒,2
002182,宝武镁业,4
002183,怡亚通,7
002184,海得控制,7
002185,华天科技,4
002186,全聚德,2
002187,广百股份,0
002188,中天服务,1
002189,中光学,7
002190,成飞集成,2
002191,劲嘉股份,2
002193,如意集团,4
002194,武汉凡谷,3
002195,岩山科技,2
002196,方正电机,7
002197,ST 证通,4
002198,嘉应制药,1
002199,东晶电子,1
002200,ST 交投,0
002201,正威新材,4
002202,金风科技,0
002203,海亮股份,4
002204,大连重工,7
002205,国统股份,0
002206,海利得,4
002207,准油股份,1
002208,合肥城建,0
002209,达意隆,0
002211,宏达新材,1
002212,天融信,0
002213,大为股份,1
002214,大立科技,7
002215,诺普信,4
002216,三全食品,2
002218,拓日新能,4
002219,新里程,4
002221,东华能源,4
002222,福晶科技,1
002223,鱼跃医疗,3
002224,三力士,3
002225,濮耐股份,7
002226,江南化工,4
002227,奥特迅,2
002228,合兴包装,7
002229,鸿博股份,2
002230,科大讯飞,7
002231,奥维通信,1
002232,启明信息,1
002233,塔牌集团,2
002234,民和股份,4
002235,安妮股份,2
002236,大华股份,7
002237,恒邦股份,4
002238,天威视讯,2
002239,奥特佳,7
002240,盛新锂能,4
002241,歌尔股份,4
002242,九阳股份,3
002243,力合科创,0
002244,滨江集团,0
002245,蔚蓝锂芯,4
002246,北化股份,3
002247,聚力文化,2
